,atomic_numbers_mean,atomic_numbers_max,atomic_numbers_min,atomic_numbers_std,volume_per_atom,empty_volume,metals_fraction,distance_matrix_mean,distance_matrix_max,distance_matrix_min,distance_matrix_std,van_der_waals_radius_mean,van_der_waals_radius_max,van_der_waals_radius_min,van_der_waals_radius_std,electrical_resistivity_mean,electrical_resistivity_max,electrical_resistivity_min,electrical_resistivity_std,velocity_of_sound_mean,velocity_of_sound_max,velocity_of_sound_min,velocity_of_sound_std,reflectivity_mean,reflectivity_max,reflectivity_min,reflectivity_std,poissons_ratio_mean,poissons_ratio_max,poissons_ratio_min,poissons_ratio_std,molar_volume_mean,molar_volume_max,molar_volume_min,molar_volume_std,thermal_conductivity_mean,thermal_conductivity_max,thermal_conductivity_min,thermal_conductivity_std,melting_point_mean,melting_point_max,melting_point_min,melting_point_std,critical_temperature_mean,critical_temperature_max,critical_temperature_min,critical_temperature_std,superconduction_temperature_mean,superconduction_temperature_max,superconduction_temperature_min,superconduction_temperature_std,liquid_range_mean,liquid_range_max,liquid_range_min,liquid_range_std,bulk_modulus_mean,bulk_modulus_max,bulk_modulus_min,bulk_modulus_std,youngs_modulus_mean,youngs_modulus_max,youngs_modulus_min,youngs_modulus_std,brinell_hardness_mean,brinell_hardness_max,brinell_hardness_min,brinell_hardness_std,rigidity_modulus_mean,rigidity_modulus_max,rigidity_modulus_min,rigidity_modulus_std,vickers_hardness_mean,vickers_hardness_max,vickers_hardness_min,vickers_hardness_std,density_of_solid_mean,density_of_solid_max,density_of_solid_min,density_of_solid_std,coefficient_of_linear_thermal_expansion_mean,coefficient_of_linear_thermal_expansion_max,coefficient_of_linear_thermal_expansion_min,coefficient_of_linear_thermal_expansion_std,average_ionic_radius_mean,average_ionic_radius_max,average_ionic_radius_min,average_ionic_radius_std,average_cationic_radius_mean,average_cationic_radius_max,average_cationic_radius_min,average_cationic_radius_std,average_anionic_radius_mean,average_anionic_radius_max,average_anionic_radius_min,average_anionic_radius_std
0,29.0,32,28,1.7320508075688772,10.999866997861842,42.302069669503005,0.25,1.872242390008728,2.4963238961419565,0.0,1.0809396478598547,1.97,1.97,1.97,0.0,7.2e-08,7.2e-08,7.2e-08,0.0,4970.0,4970.0,4970.0,0.0,72.0,72.0,72.0,0.0,0.31,0.31,0.31,0.0,6.59,6.59,6.59,0.0,91.0,91.0,91.0,0.0,1728.0,1728.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.0,1458.0,1458.0,0.0,180.0,180.0,180.0,0.0,200.0,200.0,200.0,0.0,700.0,700.0,700.0,0.0,76.0,76.0,76.0,0.0,638.0,638.0,638.0,0.0,8908.0,8908.0,8908.0,0.0,1.34e-05,1.34e-05,1.34e-05,0.0,0.74,0.74,0.74,0.0,0.74,0.74,0.74,0.0,0.0,0.0,0.0,0.0
1,56.333333333333336,92,32,25.772509040103607,18.95915721643042,223.43009282866632,0.08333333333333333,3.15220689729261,5.418956353239965,0.0,1.2226367572660608,2.41,2.41,2.41,0.0,2.8e-07,2.8e-07,2.8e-07,0.0,3155.0,3155.0,3155.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.23,0.0,12.49,12.49,12.49,0.0,27.0,27.0,27.0,0.0,1405.3,1405.3,1405.3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,2794.7,2794.7,2794.7,0.0,100.0,100.0,100.0,0.0,208.0,208.0,208.0,0.0,2400.0,2400.0,2400.0,0.0,111.0,111.0,111.0,0.0,1960.0,1960.0,1960.0,0.0,19050.0,19050.0,19050.0,0.0,1.39e-05,1.39e-05,1.39e-05,0.0,0.9912500000000001,0.9912500000000001,0.9912500000000001,0.0,0.9912500000000001,0.9912500000000001,0.9912500000000001,0.0,0.0,0.0,0.0,0.0
2,29.25,80,16,20.26542622300355,19.74180808610357,313.55936450002446,0.0625,3.427187305628695,5.678819379079515,0.0,1.2489910746541726,1.96,1.96,1.96,0.0,1.72e-08,1.72e-08,1.72e-08,0.0,3570.0,3570.0,3570.0,0.0,90.0,90.0,90.0,0.0,0.34,0.34,0.34,0.0,7.11,7.11,7.11,0.0,400.0,400.0,400.0,0.0,1357.77,1357.77,1357.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.23,1842.23,1842.23,0.0,140.0,140.0,140.0,0.0,130.0,130.0,130.0,0.0,874.0,874.0,874.0,0.0,48.0,48.0,48.0,0.0,369.0,369.0,369.0,0.0,8920.0,8920.0,8920.0,0.0,1.65e-05,1.65e-05,1.65e-05,0.0,0.82,0.82,0.82,0.0,0.82,0.82,0.82,0.0,0.0,0.0,0.0,0.0
3,14.470588235294118,72,8,15.575688624409752,14.375479113179015,1463.7264287597452,0.00980392156862745,6.718147073366523,11.982054581629434,0.0,2.7831611828286116,2.23,2.23,2.23,0.0,3.4e-07,3.4e-07,3.4e-07,0.0,3010.0,3010.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.37,0.0,13.44,13.44,13.44,0.0,23.0,23.0,23.0,0.0,2506.0,2506.0,2506.0,0.0,0.0,0.0,0.0,0.0,0.128,0.128,0.128,0.0,2370.0,2370.0,2370.0,0.0,110.0,110.0,110.0,0.0,78.0,78.0,78.0,0.0,1700.0,1700.0,1700.0,0.0,30.0,30.0,30.0,0.0,1760.0,1760.0,1760.0,0.0,13310.0,13310.0,13310.0,0.0,5.9e-06,5.9e-06,5.9e-06,0.0,0.85,0.85,0.85,0.0,0.85,0.85,0.85,0.0,0.0,0.0,0.0,0.0
4,27.6,55,17,14.880860190190619,32.58505510348421,138.08683449970079,0.2,2.6967695862537284,4.60411984291327,0.0,1.496752095732979,3.43,3.43,3.43,0.0,2.1e-07,2.1e-07,2.1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.94,70.94,70.94,0.0,36.0,36.0,36.0,0.0,301.59,301.59,301.59,0.0,1938.0,1938.0,1938.0,0.0,0.0,0.0,0.0,0.0,642.41,642.41,642.41,0.0,1.6,1.6,1.6,0.0,1.7,1.7,1.7,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879.0,1879.0,1879.0,0.0,0.0,0.0,0.0,0.0,1.81,1.81,1.81,0.0,1.81,1.81,1.81,0.0,0.0,0.0,0.0,0.0
5,24.666666666666668,39,3,15.58489297008128,20.432898573967798,180.8424591064209,0.1111111111111111,2.823723668300323,4.605017296305428,0.0,1.0937337812429266,1.82,1.82,1.82,0.0,9.5e-08,9.5e-08,9.5e-08,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,13.02,13.02,0.0,85.0,85.0,85.0,0.0,453.69,453.69,453.69,0.0,3223.0,3223.0,3223.0,0.0,0.0,0.0,0.0,0.0,1161.31,1161.31,1161.31,0.0,11.0,11.0,11.0,0.0,4.9,4.9,4.9,0.0,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,535.0,535.0,535.0,0.0,4.6e-05,4.6e-05,4.6e-05,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0
6,26.5,58,8,20.657928260113597,16.54403271837588,259.42785420756223,0.0625,3.0956379923280197,4.739363355770748,0.0,1.0690825902444572,2.42,2.42,2.42,0.0,7.4e-07,7.4e-07,7.4e-07,0.0,2100.0,2100.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.24,0.0,20.69,20.69,20.69,0.0,11.0,11.0,11.0,0.0,1068.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.022,0.0,2565.0,2565.0,2565.0,0.0,22.0,22.0,22.0,0.0,34.0,34.0,34.0,0.0,412.0,412.0,412.0,0.0,14.0,14.0,14.0,0.0,270.0,270.0,270.0,0.0,6689.0,6689.0,6689.0,0.0,6.3e-06,6.3e-06,6.3e-06,0.0,1.08,1.08,1.08,0.0,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0
7,30.666666666666668,65,16,20.507451220362697,20.696949888358276,492.7662106536839,0.041666666666666664,3.9393477043765492,6.423578222770099,0.0,1.3121953213018454,2.33,2.33,2.33,0.0,1.15e-06,1.15e-06,1.15e-06,0.0,2620.0,2620.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.0,19.3,19.3,19.3,0.0,11.0,11.0,11.0,0.0,1629.0,1629.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.0,1874.0,1874.0,0.0,38.7,38.7,38.7,0.0,56.0,56.0,56.0,0.0,677.0,677.0,677.0,0.0,22.0,22.0,22.0,0.0,863.0,863.0,863.0,0.0,8219.0,8219.0,8219.0,0.0,1.03e-05,1.03e-05,1.03e-05,0.0,0.9815,0.9815,0.9815,0.0,0.9815,0.9815,0.9815,0.0,0.0,0.0,0.0,0.0
8,42.0,65,29,16.30950643030009,18.988983517719614,109.97331443940294,0.16666666666666666,2.704638872149005,4.425267370446134,0.0,1.311163162301937,2.33,2.33,2.33,0.0,1.15e-06,1.15e-06,1.15e-06,0.0,2620.0,2620.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.0,19.3,19.3,19.3,0.0,11.0,11.0,11.0,0.0,1629.0,1629.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.0,1874.0,1874.0,0.0,38.7,38.7,38.7,0.0,56.0,56.0,56.0,0.0,677.0,677.0,677.0,0.0,22.0,22.0,22.0,0.0,863.0,863.0,863.0,0.0,8219.0,8219.0,8219.0,0.0,1.03e-05,1.03e-05,1.03e-05,0.0,0.9815,0.9815,0.9815,0.0,0.9815,0.9815,0.9815,0.0,0.0,0.0,0.0,0.0
9,40.833333333333336,72,23,22.26669161675249,16.433882038940013,194.6341436827657,0.08333333333333333,3.06559102378918,5.217109590579703,0.0,1.2392460300267978,2.23,2.23,2.23,0.0,3.4e-07,3.4e-07,3.4e-07,0.0,3010.0,3010.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.37,0.0,13.44,13.44,13.44,0.0,23.0,23.0,23.0,0.0,2506.0,2506.0,2506.0,0.0,0.0,0.0,0.0,0.0,0.128,0.128,0.128,0.0,2370.0,2370.0,2370.0,0.0,110.0,110.0,110.0,0.0,78.0,78.0,78.0,0.0,1700.0,1700.0,1700.0,0.0,30.0,30.0,30.0,0.0,1760.0,1760.0,1760.0,0.0,13310.0,13310.0,13310.0,0.0,5.9e-06,5.9e-06,5.9e-06,0.0,0.85,0.85,0.85,0.0,0.85,0.85,0.85,0.0,0.0,0.0,0.0,0.0
